obs,source,auth,title,yr_pub,reg,loc,lat_decimal,long_decimal,MAP_mm,soil_type,ox_ult,pH,clay_perc,silt_perc,sand_perc,bnf_input,ferttype1,fert1_kgN_ha,ferttype2,fert2_kgN_ha,ferttype3,fert3_kgN_ha,split_app,org_Nfix_in,irrig_1_0,crop,crop_type,trt_name,nh3_kg_seas,nh3_kg_seas_zero.rm,SE,approx_num_measurements,num_replicates,duration_d,tropical,N_in_kg,pct_sand_0.05m_extract,pct_sand_combined,MAP_mm_global,MAP_mm_combined
59,this study,P. Chaiwanakupt; J.R. Freney ; D.G. Keerthisinghe; S. Phongpan ; R.L. Blakeley ,"Use of urease, algal inhibitors, and nitrification inhibitors to reduce nitrogen loss and increase the grain yield of flooded rice (Oryza sativa L.}",1996,A,"Suphanburi, Thailand",14.46667,100.1333,,Fluvic Tropaquept,0,5.1,68,18,14,,urea,75,,,,,0,0,1,flooded rice,CF rice,mixed inhibitors + CaC2 +,8.080487053,8.080487053,,11,3,11,1,75,,14,1201,1201
60,this study,"Fungo, B; Lehmann, J; Kalbitz, K; Thiongo, M; Tenywa, M; Okeyo, I; Neufeldt, H","Ammonia and nitrous oxide emissions from a field Ultisol amended with tithonia green manure, urea, and biochar",2019,SSA,"Kapsengere, Kenya",0.159444,34.96028,2000,Typic Kandiudult,1,,,,,,,0,,,,,1,0,0,maize,cereal,1,2.8457937,2.8457937,3.2458985,156,3,1095.75,1,0,38,38,1372,2000
61,this study,"Fungo, B; Lehmann, J; Kalbitz, K; Thiongo, M; Tenywa, M; Okeyo, I; Neufeldt, H","Ammonia and nitrous oxide emissions from a field Ultisol amended with tithonia green manure, urea, and biochar",2019,SSA,"Kapsengere, Kenya",0.159444,34.96028,2000,Typic Kandiudult,1,,,,,,green manure,75,,,,,1,1,0,maize,cereal,2,3.2942464,3.2942464,3.7609499,156,3,1095.75,1,75,38,38,1372,2000
62,this study,"Fungo, B; Lehmann, J; Kalbitz, K; Thiongo, M; Tenywa, M; Okeyo, I; Neufeldt, H","Ammonia and nitrous oxide emissions from a field Ultisol amended with tithonia green manure, urea, and biochar",2019,SSA,"Kapsengere, Kenya",0.159444,34.96028,2000,Typic Kandiudult,1,,,,,,green manure,150,,,,,1,1,0,maize,cereal,3,3.6536732,3.6536732,4.0981197,156,3,1095.75,1,150,38,38,1372,2000
63,this study,"Fungo, B; Lehmann, J; Kalbitz, K; Thiongo, M; Tenywa, M; Okeyo, I; Neufeldt, H","Ammonia and nitrous oxide emissions from a field Ultisol amended with tithonia green manure, urea, and biochar",2019,SSA,"Kapsengere, Kenya",0.159444,34.96028,2000,Typic Kandiudult,1,,,,,,urea,120,,,,,1,0,0,maize,cereal,4,4.7464366,4.7464366,5.1909857,156,3,1095.75,1,120,38,38,1372,2000
64,this study,"Fungo, B; Lehmann, J; Kalbitz, K; Thiongo, M; Tenywa, M; Okeyo, I; Neufeldt, H","Ammonia and nitrous oxide emissions from a field Ultisol amended with tithonia green manure, urea, and biochar",2019,SSA,"Kapsengere, Kenya",0.159444,34.96028,2000,Typic Kandiudult,1,,,,,,green manure,75,urea,120,,,1,1,0,maize,cereal,5,4.3279786,4.3279786,4.6614847,156,3,1095.75,1,195,38,38,1372,2000
65,this study,"Fungo, B; Lehmann, J; Kalbitz, K; Thiongo, M; Tenywa, M; Okeyo, I; Neufeldt, H","Ammonia and nitrous oxide emissions from a field Ultisol amended with tithonia green manure, urea, and biochar",2019,SSA,"Kapsengere, Kenya",0.159444,34.96028,2000,Typic Kandiudult,1,,,,,,green manure,150,urea,120,,,1,1,0,maize,cereal,6,5.4873405,5.4873405,5.8431034,156,3,1095.75,1,270,38,38,1372,2000
66,this study,"Fungo, B; Lehmann, J; Kalbitz, K; Thiongo, M; Tenywa, M; Okeyo, I; Neufeldt, H","Ammonia and nitrous oxide emissions from a field Ultisol amended with tithonia green manure, urea, and biochar",2019,SSA,"Kapsengere, Kenya",0.159444,34.96028,2000,Typic Kandiudult,1,,,,,,biochar,0,,,,,1,1,0,maize,cereal,7,4.6440563,4.6440563,5.111068,156,3,1095.75,1,0,38,38,1372,2000
67,this study,"Fungo, B; Lehmann, J; Kalbitz, K; Thiongo, M; Tenywa, M; Okeyo, I; Neufeldt, H","Ammonia and nitrous oxide emissions from a field Ultisol amended with tithonia green manure, urea, and biochar",2019,SSA,"Kapsengere, Kenya",0.159444,34.96028,2000,Typic Kandiudult,1,,,,,,green manure,75,,,,,1,1,0,maize,cereal,8,1.0693084,1.0693084,1.6470548,156,3,1095.75,1,75,38,38,1372,2000
68,this study,"Fungo, B; Lehmann, J; Kalbitz, K; Thiongo, M; Tenywa, M; Okeyo, I; Neufeldt, H","Ammonia and nitrous oxide emissions from a field Ultisol amended with tithonia green manure, urea, and biochar",2019,SSA,"Kapsengere, Kenya",0.159444,34.96028,2000,Typic Kandiudult,1,,,,,,green manure,150,,,,,1,1,0,maize,cereal,9,1.4064442,1.4064442,1.9175577,156,3,1095.75,1,150,38,38,1372,2000
69,this study,"Fungo, B; Lehmann, J; Kalbitz, K; Thiongo, M; Tenywa, M; Okeyo, I; Neufeldt, H","Ammonia and nitrous oxide emissions from a field Ultisol amended with tithonia green manure, urea, and biochar",2019,SSA,"Kapsengere, Kenya",0.159444,34.96028,2000,Typic Kandiudult,1,,,,,,urea,120,,,,,1,1,0,maize,cereal,10,2.1436846,2.1436846,2.6770546,156,3,1095.75,1,120,38,38,1372,2000
70,this study,"Fungo, B; Lehmann, J; Kalbitz, K; Thiongo, M; Tenywa, M; Okeyo, I; Neufeldt, H","Ammonia and nitrous oxide emissions from a field Ultisol amended with tithonia green manure, urea, and biochar",2019,SSA,"Kapsengere, Kenya",0.159444,34.96028,2000,Typic Kandiudult,1,,,,,,green manure,75,urea,120,,,1,1,0,maize,cereal,11,2.436444,2.436444,3.080926,156,3,1095.75,1,195,38,38,1372,2000
71,this study,"Fungo, B; Lehmann, J; Kalbitz, K; Thiongo, M; Tenywa, M; Okeyo, I; Neufeldt, H","Ammonia and nitrous oxide emissions from a field Ultisol amended with tithonia green manure, urea, and biochar",2019,SSA,"Kapsengere, Kenya",0.159444,34.96028,2000,Typic Kandiudult,1,,,,,,green manure,150,urea,120,,,1,1,0,maize,cereal,12,3.3959763,3.3959763,3.907124,156,3,1095.75,1,270,38,38,1372,2000
72,this study,"Pinheiro, PL; Recous, S; Dietrich, G; Weiler, DA; Giovelli, RL; Mezzalira, AP; Giacominia, SJ",Straw removal reduces the mulch physical barrier and ammonia volatilization after urea application in sugarcane,2018,SCA,"Federal University of Santa Maria, Rio Grande do Sul state, Brazil",-29.715,-53.70639,1660,Typic Paleudalf,,,,,,,urea,100,,,,,0,1,0,sugar cane,other,0S+N 2016,9.475806,9.475806,,16,4,16,1,100,,,1672,1660
73,this study,"Pinheiro, PL; Recous, S; Dietrich, G; Weiler, DA; Giovelli, RL; Mezzalira, AP; Giacominia, SJ",Straw removal reduces the mulch physical barrier and ammonia volatilization after urea application in sugarcane,2018,SCA,"Federal University of Santa Maria, Rio Grande do Sul state, Brazil",-29.715,-53.70639,1660,Typic Paleudalf,,,,,,,urea,100,,,,,0,1,0,sugar cane,other,4S+N 2016,18.548388,18.548388,,16,4,16,1,100,,,1672,1660
74,this study,"Pinheiro, PL; Recous, S; Dietrich, G; Weiler, DA; Giovelli, RL; Mezzalira, AP; Giacominia, SJ",Straw removal reduces the mulch physical barrier and ammonia volatilization after urea application in sugarcane,2018,SCA,"Federal University of Santa Maria, Rio Grande do Sul state, Brazil",-29.715,-53.70639,1660,Typic Paleudalf,,,,,,,urea,100,,,,,0,1,0,sugar cane,other,8S +N 2016,22.379032,22.379032,,16,4,16,1,100,,,1672,1660
75,this study,"Pinheiro, PL; Recous, S; Dietrich, G; Weiler, DA; Giovelli, RL; Mezzalira, AP; Giacominia, SJ",Straw removal reduces the mulch physical barrier and ammonia volatilization after urea application in sugarcane,2018,SCA,"Federal University of Santa Maria, Rio Grande do Sul state, Brazil",-29.715,-53.70639,1660,Typic Paleudalf,,,,,,,urea,100,,,,,0,1,0,sugar cane,other,12S+N 2016,27.620968,27.620968,,16,4,16,1,100,,,1672,1660
76,this study,"Pinheiro, PL; Recous, S; Dietrich, G; Weiler, DA; Giovelli, RL; Mezzalira, AP; Giacominia, SJ",Straw removal reduces the mulch physical barrier and ammonia volatilization after urea application in sugarcane,2018,SCA,"Federal University of Santa Maria, Rio Grande do Sul state, Brazil",-29.715,-53.70639,1660,Typic Paleudalf,,,,,,,urea,100,,,,,0,1,0,sugar cane,other,0S+N 2017,30.964434,30.964434,,14,4,14,1,100,,,1672,1660
77,this study,"Pinheiro, PL; Recous, S; Dietrich, G; Weiler, DA; Giovelli, RL; Mezzalira, AP; Giacominia, SJ",Straw removal reduces the mulch physical barrier and ammonia volatilization after urea application in sugarcane,2018,SCA,"Federal University of Santa Maria, Rio Grande do Sul state, Brazil",-29.715,-53.70639,1660,Typic Paleudalf,,,,,,,urea,100,,,,,0,1,0,sugar cane,other,4S+N 2017,42.96474,42.96474,,14,4,14,1,100,,,1672,1660
78,this study,"Pinheiro, PL; Recous, S; Dietrich, G; Weiler, DA; Giovelli, RL; Mezzalira, AP; Giacominia, SJ",Straw removal reduces the mulch physical barrier and ammonia volatilization after urea application in sugarcane,2018,SCA,"Federal University of Santa Maria, Rio Grande do Sul state, Brazil",-29.715,-53.70639,1660,Typic Paleudalf,,,,,,,urea,100,,,,,0,1,0,sugar cane,other,8S +N 2017,54.657345,54.657345,,14,4,14,1,100,,,1672,1660
79,this study,"Pinheiro, PL; Recous, S; Dietrich, G; Weiler, DA; Giovelli, RL; Mezzalira, AP; Giacominia, SJ",Straw removal reduces the mulch physical barrier and ammonia volatilization after urea application in sugarcane,2018,SCA,"Federal University of Santa Maria, Rio Grande do Sul state, Brazil",-29.715,-53.70639,1660,Typic Paleudalf,,,,,,,urea,100,,,,,0,1,0,sugar cane,other,12S+N 2017,63.57912,63.57912,,14,4,14,1,100,,,1672,1660
80,this study,"Zheng, JS; Kilasara, MM; Mmari, WN; Funakawa, S",Ammonia volatilization following urea application at maize fields in the East African highlands with different soil properties,2018,SSA,"Mangalali, Tanzania",-7.766667,35.56667,,Kanhaplic Haplustalfs ,,5.66,4.7,6.9,88.4,,urea,0,,,,,0,0,0,maize,cereal,0,0.90909094,0.90909094,,7,3,17,1,0,,88.4,1028,1028
81,this study,"Zheng, JS; Kilasara, MM; Mmari, WN; Funakawa, S",Ammonia volatilization following urea application at maize fields in the East African highlands with different soil properties,2018,SSA,"Mangalali, Tanzania",-7.766667,35.56667,,Kanhaplic Haplustalfs ,,5.66,4.7,6.9,88.4,,urea,30,,,,,0,0,0,maize,cereal,30,11.363636,11.363636,,7,3,17,1,30,,88.4,1028,1028
82,this study,"Zheng, JS; Kilasara, MM; Mmari, WN; Funakawa, S",Ammonia volatilization following urea application at maize fields in the East African highlands with different soil properties,2018,SSA,"Mangalali, Tanzania",-7.766667,35.56667,,Kanhaplic Haplustalfs ,,5.66,4.7,6.9,88.4,,urea,50,,,,,0,0,0,maize,cereal,50,23.181818,23.181818,,7,3,17,1,50,,88.4,1028,1028
83,this study,"Zheng, JS; Kilasara, MM; Mmari, WN; Funakawa, S",Ammonia volatilization following urea application at maize fields in the East African highlands with different soil properties,2018,SSA,"Mangalali, Tanzania",-7.766667,35.56667,,Kanhaplic Haplustalfs ,,5.66,4.7,6.9,88.4,,urea,70,,,,,0,0,0,maize,cereal,70,34.090908,34.090908,,7,3,17,1,70,,88.4,1028,1028
84,this study,"Zheng, JS; Kilasara, MM; Mmari, WN; Funakawa, S",Ammonia volatilization following urea application at maize fields in the East African highlands with different soil properties,2018,SSA,"Mangalali, Tanzania",-7.766667,35.56667,,Kanhaplic Haplustalfs ,,5.66,4.7,6.9,88.4,,urea,100,,,,,0,0,0,maize,cereal,100,50.454544,50.454544,,7,3,17,1,100,,88.4,1028,1028
85,this study,"Zheng, JS; Kilasara, MM; Mmari, WN; Funakawa, S",Ammonia volatilization following urea application at maize fields in the East African highlands with different soil properties,2018,SSA,"Mangalali, Tanzania",-7.766667,35.56667,,Kanhaplic Haplustalfs ,,5.66,4.7,6.9,88.4,,urea,150,,,,,0,0,0,maize,cereal,150,77.27273,77.27273,,7,3,17,1,150,,88.4,1028,1028
86,this study,"Zheng, JS; Kilasara, MM; Mmari, WN; Funakawa, S",Ammonia volatilization following urea application at maize fields in the East African highlands with different soil properties,2018,SSA,"Uyole, Tanzania",-8.916667,33.51667,,Dystric Vitric Haplustands,,6.34,28.4,42,29.6,,urea,0,,,,,0,0,0,maize,cereal,0,0.45454547,0.45454547,,7,3,17,1,0,,29.6,954,954
87,this study,"Zheng, JS; Kilasara, MM; Mmari, WN; Funakawa, S",Ammonia volatilization following urea application at maize fields in the East African highlands with different soil properties,2018,SSA,"Uyole, Tanzania",-8.916667,33.51667,,Dystric Vitric Haplustands,,6.34,28.4,42,29.6,,urea,30,,,,,0,0,0,maize,cereal,30,2.7272727,2.7272727,,7,3,17,1,30,,29.6,954,954
88,this study,"Zheng, JS; Kilasara, MM; Mmari, WN; Funakawa, S",Ammonia volatilization following urea application at maize fields in the East African highlands with different soil properties,2018,SSA,"Uyole, Tanzania",-8.916667,33.51667,,Dystric Vitric Haplustands,,6.34,28.4,42,29.6,,urea,50,,,,,0,0,0,maize,cereal,50,3.1818182,3.1818182,,7,3,17,1,50,,29.6,954,954
89,this study,"Zheng, JS; Kilasara, MM; Mmari, WN; Funakawa, S",Ammonia volatilization following urea application at maize fields in the East African highlands with different soil properties,2018,SSA,"Uyole, Tanzania",-8.916667,33.51667,,Dystric Vitric Haplustands,,6.34,28.4,42,29.6,,urea,70,,,,,0,0,0,maize,cereal,70,5.909091,5.909091,,7,3,17,1,70,,29.6,954,954
90,this study,"Zheng, JS; Kilasara, MM; Mmari, WN; Funakawa, S",Ammonia volatilization following urea application at maize fields in the East African highlands with different soil properties,2018,SSA,"Uyole, Tanzania",-8.916667,33.51667,,Dystric Vitric Haplustands,,6.34,28.4,42,29.6,,urea,100,,,,,0,0,0,maize,cereal,100,19.545454,19.545454,,7,3,17,1,100,,29.6,954,954
91,this study,"Zheng, JS; Kilasara, MM; Mmari, WN; Funakawa, S",Ammonia volatilization following urea application at maize fields in the East African highlands with different soil properties,2018,SSA,"Uyole, Tanzania",-8.916667,33.51667,,Dystric Vitric Haplustands,,6.34,28.4,42,29.6,,urea,150,,,,,0,0,0,maize,cereal,150,33.18182,33.18182,,7,3,17,1,150,,29.6,954,954
92,this study,"Mira, AB; Cantarella, H; Souza-Netto, GJM; Moreira, LA; Kamogawa, MY; Otto, R",Optimizing urease inhibitor usage to reduce ammonia emission following urea application over crop residues,2017,SCA,"São Paulo, Brazil",-22.58833,-47.52506,,,,5.5,70.8,13,16.1,,urea,100,,,,,0,1,0,sugar cane,other,urea,13.960396,13.960396,,10,4,30,1,100,,16.1,1475,1475
93,this study,"Mira, AB; Cantarella, H; Souza-Netto, GJM; Moreira, LA; Kamogawa, MY; Otto, R",Optimizing urease inhibitor usage to reduce ammonia emission following urea application over crop residues,2017,SCA,"São Paulo, Brazil",-22.58833,-47.52506,,,,5.5,70.8,13,16.1,,ammonium nitrate,100,,,,,0,1,0,sugar cane,other,AN,0.2970297,0.2970297,,10,4,30,1,100,,16.1,1475,1475
94,this study,"Mira, AB; Cantarella, H; Souza-Netto, GJM; Moreira, LA; Kamogawa, MY; Otto, R",Optimizing urease inhibitor usage to reduce ammonia emission following urea application over crop residues,2017,SCA,"São Paulo, Brazil",-22.58833,-47.52506,,,,5.5,70.8,13,16.1,,urea,100,,,,,0,1,0,sugar cane,other,urea+ NBPT 530,10.19802,10.19802,,10,4,30,1,100,,16.1,1475,1475
95,this study,"Mira, AB; Cantarella, H; Souza-Netto, GJM; Moreira, LA; Kamogawa, MY; Otto, R",Optimizing urease inhibitor usage to reduce ammonia emission following urea application over crop residues,2017,SCA,"São Paulo, Brazil",-22.58833,-47.52506,,,,5.5,70.8,13,16.1,,urea,100,,,,,0,1,0,sugar cane,other,urea+ NBPT 850,8.217822,8.217822,,10,4,30,1,100,,16.1,1475,1475
96,this study,"Mira, AB; Cantarella, H; Souza-Netto, GJM; Moreira, LA; Kamogawa, MY; Otto, R",Optimizing urease inhibitor usage to reduce ammonia emission following urea application over crop residues,2017,SCA,"São Paulo, Brazil",-22.58833,-47.52506,,,,5.5,70.8,13,16.1,,urea,100,,,,,0,1,0,sugar cane,other,urea+ NBPT 1500,5.2475247,5.2475247,,10,4,30,1,100,,16.1,1475,1475
97,this study,"Mira, AB; Cantarella, H; Souza-Netto, GJM; Moreira, LA; Kamogawa, MY; Otto, R",Optimizing urease inhibitor usage to reduce ammonia emission following urea application over crop residues,2017,SCA,"São Paulo, Brazil",-22.58833,-47.52506,,,,5.5,70.8,13,16.1,,urea,100,,,,,0,1,0,sugar cane,other,urea+ NBPT 2000,7.1287127,7.1287127,,10,4,30,1,100,,16.1,1475,1475
98,this study,"Mira, AB; Cantarella, H; Souza-Netto, GJM; Moreira, LA; Kamogawa, MY; Otto, R",Optimizing urease inhibitor usage to reduce ammonia emission following urea application over crop residues,2017,SCA,"São Paulo, Brazil",-22.63533,-47.76381,,,,4.1,10,1.6,88.4,,urea,100,,,,,0,1,0,sugar cane,other,urea,31.683168,31.683168,,10,4,30,1,100,,88.4,1475,1475
99,this study,"Mira, AB; Cantarella, H; Souza-Netto, GJM; Moreira, LA; Kamogawa, MY; Otto, R",Optimizing urease inhibitor usage to reduce ammonia emission following urea application over crop residues,2017,SCA,"São Paulo, Brazil",-22.63533,-47.76381,,,,4.1,10,1.6,88.4,,ammonium nitrate,100,,,,,0,1,0,sugar cane,other,AN,0.5940594,0.5940594,,10,4,30,1,100,,88.4,1475,1475
100,this study,"Mira, AB; Cantarella, H; Souza-Netto, GJM; Moreira, LA; Kamogawa, MY; Otto, R",Optimizing urease inhibitor usage to reduce ammonia emission following urea application over crop residues,2017,SCA,"São Paulo, Brazil",-22.63533,-47.76381,,,,4.1,10,1.6,88.4,,urea,100,,,,,0,1,0,sugar cane,other,urea+ NBPT 530,27.326733,27.326733,,10,4,30,1,100,,88.4,1475,1475
101,this study,"Mira, AB; Cantarella, H; Souza-Netto, GJM; Moreira, LA; Kamogawa, MY; Otto, R",Optimizing urease inhibitor usage to reduce ammonia emission following urea application over crop residues,2017,SCA,"São Paulo, Brazil",-22.63533,-47.76381,,,,4.1,10,1.6,88.4,,urea,100,,,,,0,1,0,sugar cane,other,urea+ NBPT 850,24.950495,24.950495,,10,4,30,1,100,,88.4,1475,1475
102,this study,"Mira, AB; Cantarella, H; Souza-Netto, GJM; Moreira, LA; Kamogawa, MY; Otto, R",Optimizing urease inhibitor usage to reduce ammonia emission following urea application over crop residues,2017,SCA,"São Paulo, Brazil",-22.63533,-47.76381,,,,4.1,10,1.6,88.4,,urea,100,,,,,0,1,0,sugar cane,other,urea+ NBPT 1500,28.811882,28.811882,,10,4,30,1,100,,88.4,1475,1475
103,this study,"Mira, AB; Cantarella, H; Souza-Netto, GJM; Moreira, LA; Kamogawa, MY; Otto, R",Optimizing urease inhibitor usage to reduce ammonia emission following urea application over crop residues,2017,SCA,"São Paulo, Brazil",-22.63533,-47.76381,,,,4.1,10,1.6,88.4,,urea,100,,,,,0,1,0,sugar cane,other,urea+ NBPT 2000,23.267326,23.267326,,10,4,30,1,100,,88.4,1475,1475
104,this study,"Mira, AB; Cantarella, H; Souza-Netto, GJM; Moreira, LA; Kamogawa, MY; Otto, R",Optimizing urease inhibitor usage to reduce ammonia emission following urea application over crop residues,2017,SCA,"São Paulo, Brazil",-22.41081,-47.41081,,,,4.9,66.9,13.1,20,,urea,100,,,,,0,1,0,sugar cane,other,urea,19.551823,19.551823,,10,4,30,1,100,,20,1510,1510
105,this study,"Mira, AB; Cantarella, H; Souza-Netto, GJM; Moreira, LA; Kamogawa, MY; Otto, R",Optimizing urease inhibitor usage to reduce ammonia emission following urea application over crop residues,2017,SCA,"São Paulo, Brazil",-22.41081,-47.41081,,,,4.9,66.9,13.1,20,,ammonium nitrate,100,,,,,0,1,0,sugar cane,other,AN,0.103259034,0.103259034,,10,4,30,1,100,,20,1510,1510
106,this study,"Mira, AB; Cantarella, H; Souza-Netto, GJM; Moreira, LA; Kamogawa, MY; Otto, R",Optimizing urease inhibitor usage to reduce ammonia emission following urea application over crop residues,2017,SCA,"São Paulo, Brazil",-22.41081,-47.41081,,,,4.9,66.9,13.1,20,,urea,100,,,,,0,1,0,sugar cane,other,urea+ NBPT 530,11.933279,11.933279,,10,4,30,1,100,,20,1510,1510
107,this study,"Mira, AB; Cantarella, H; Souza-Netto, GJM; Moreira, LA; Kamogawa, MY; Otto, R",Optimizing urease inhibitor usage to reduce ammonia emission following urea application over crop residues,2017,SCA,"São Paulo, Brazil",-22.41081,-47.41081,,,,4.9,66.9,13.1,20,,urea,100,,,,,0,1,0,sugar cane,other,urea+ NBPT 850,11.131276,11.131276,,10,4,30,1,100,,20,1510,1510
108,this study,"Mira, AB; Cantarella, H; Souza-Netto, GJM; Moreira, LA; Kamogawa, MY; Otto, R",Optimizing urease inhibitor usage to reduce ammonia emission following urea application over crop residues,2017,SCA,"São Paulo, Brazil",-22.41081,-47.41081,,,,4.9,66.9,13.1,20,,urea,100,,,,,0,1,0,sugar cane,other,urea+ NBPT 1500,8.624416,8.624416,,10,4,30,1,100,,20,1510,1510
109,this study,"Mira, AB; Cantarella, H; Souza-Netto, GJM; Moreira, LA; Kamogawa, MY; Otto, R",Optimizing urease inhibitor usage to reduce ammonia emission following urea application over crop residues,2017,SCA,"São Paulo, Brazil",-22.41081,-47.41081,,,,4.9,66.9,13.1,20,,urea,100,,,,,0,1,0,sugar cane,other,urea+ NBPT 2000,7.4216533,7.4216533,,10,4,30,1,100,,20,1510,1510
110,this study,"Mira, AB; Cantarella, H; Souza-Netto, GJM; Moreira, LA; Kamogawa, MY; Otto, R",Optimizing urease inhibitor usage to reduce ammonia emission following urea application over crop residues,2017,SCA,"São Paulo, Brazil",-22.78967,-47.59667,,,,5,22.5,2.7,74.8,,urea,100,,,,,0,1,0,sugar cane,other,urea,30.675756,30.675756,,10,4,30,1,100,,74.8,1475,1475
111,this study,"Mira, AB; Cantarella, H; Souza-Netto, GJM; Moreira, LA; Kamogawa, MY; Otto, R",Optimizing urease inhibitor usage to reduce ammonia emission following urea application over crop residues,2017,SCA,"São Paulo, Brazil",-22.78967,-47.59667,,,,5,22.5,2.7,74.8,,ammonium nitrate,100,,,,,0,1,0,sugar cane,other,AN,0.3008713,0.3008713,,10,4,30,1,100,,74.8,1475,1475
112,this study,"Mira, AB; Cantarella, H; Souza-Netto, GJM; Moreira, LA; Kamogawa, MY; Otto, R",Optimizing urease inhibitor usage to reduce ammonia emission following urea application over crop residues,2017,SCA,"São Paulo, Brazil",-22.78967,-47.59667,,,,5,22.5,2.7,74.8,,urea,100,,,,,0,1,0,sugar cane,other,urea+ NBPT 530,17.443676,17.443676,,10,4,30,1,100,,74.8,1475,1475
113,this study,"Mira, AB; Cantarella, H; Souza-Netto, GJM; Moreira, LA; Kamogawa, MY; Otto, R",Optimizing urease inhibitor usage to reduce ammonia emission following urea application over crop residues,2017,SCA,"São Paulo, Brazil",-22.78967,-47.59667,,,,5,22.5,2.7,74.8,,urea,100,,,,,0,1,0,sugar cane,other,urea+ NBPT 850,12.0297985,12.0297985,,10,4,30,1,100,,74.8,1475,1475
114,this study,"Mira, AB; Cantarella, H; Souza-Netto, GJM; Moreira, LA; Kamogawa, MY; Otto, R",Optimizing urease inhibitor usage to reduce ammonia emission following urea application over crop residues,2017,SCA,"São Paulo, Brazil",-22.78967,-47.59667,,,,5,22.5,2.7,74.8,,urea,100,,,,,0,1,0,sugar cane,other,urea+ NBPT 1500,11.027657,11.027657,,10,4,30,1,100,,74.8,1475,1475
115,this study,"Mira, AB; Cantarella, H; Souza-Netto, GJM; Moreira, LA; Kamogawa, MY; Otto, R",Optimizing urease inhibitor usage to reduce ammonia emission following urea application over crop residues,2017,SCA,"São Paulo, Brazil",-22.78967,-47.59667,,,,5,22.5,2.7,74.8,,urea,100,,,,,0,1,0,sugar cane,other,urea+ NBPT 2000,9.423651,9.423651,,10,4,30,1,100,,74.8,1475,1475
116,this study,"Mira, AB; Cantarella, H; Souza-Netto, GJM; Moreira, LA; Kamogawa, MY; Otto, R",Optimizing urease inhibitor usage to reduce ammonia emission following urea application over crop residues,2017,SCA,"São Paulo, Brazil",-21.04911,-49.5135,,,,4.9,22.7,2.1,75.2,,urea,100,,,,,0,1,0,sugar cane,other,urea,1.4060954,1.4060954,,10,4,30,1,100,,75.2,1336,1336
117,this study,"Mira, AB; Cantarella, H; Souza-Netto, GJM; Moreira, LA; Kamogawa, MY; Otto, R",Optimizing urease inhibitor usage to reduce ammonia emission following urea application over crop residues,2017,SCA,"São Paulo, Brazil",-21.04911,-49.5135,,,,4.9,22.7,2.1,75.2,,urea,100,,,,,0,1,0,sugar cane,other,urea+ NBPT 2000,0,0.00027475,,10,4,30,1,100,,75.2,1336,1336
118,this study,"Mira, AB; Cantarella, H; Souza-Netto, GJM; Moreira, LA; Kamogawa, MY; Otto, R",Optimizing urease inhibitor usage to reduce ammonia emission following urea application over crop residues,2017,SCA,"São Paulo, Brazil",-22.19483,-47.78681,,,,5.5,10,1.3,88.7,,urea,100,,,,,0,1,0,sugar cane,other,urea,20.335333,20.335333,,10,4,30,1,100,,88.7,1467,1467
119,this study,"Mira, AB; Cantarella, H; Souza-Netto, GJM; Moreira, LA; Kamogawa, MY; Otto, R",Optimizing urease inhibitor usage to reduce ammonia emission following urea application over crop residues,2017,SCA,"São Paulo, Brazil",-22.19483,-47.78681,,,,5.5,10,1.3,88.7,,ammonium nitrate,100,,,,,0,1,0,sugar cane,other,AN,0,0.00027475,,10,4,30,1,100,,88.7,1467,1467
120,this study,"Mira, AB; Cantarella, H; Souza-Netto, GJM; Moreira, LA; Kamogawa, MY; Otto, R",Optimizing urease inhibitor usage to reduce ammonia emission following urea application over crop residues,2017,SCA,"São Paulo, Brazil",-22.19483,-47.78681,,,,5.5,10,1.3,88.7,,urea,100,,,,,0,1,0,sugar cane,other,urea+ NBPT 530,18.82561,18.82561,,10,4,30,1,100,,88.7,1467,1467
121,this study,"Mira, AB; Cantarella, H; Souza-Netto, GJM; Moreira, LA; Kamogawa, MY; Otto, R",Optimizing urease inhibitor usage to reduce ammonia emission following urea application over crop residues,2017,SCA,"São Paulo, Brazil",-22.19483,-47.78681,,,,5.5,10,1.3,88.7,,urea,100,,,,,0,1,0,sugar cane,other,urea+ NBPT 850,16.812162,16.812162,,10,4,30,1,100,,88.7,1467,1467
122,this study,"Mira, AB; Cantarella, H; Souza-Netto, GJM; Moreira, LA; Kamogawa, MY; Otto, R",Optimizing urease inhibitor usage to reduce ammonia emission following urea application over crop residues,2017,SCA,"São Paulo, Brazil",-22.19483,-47.78681,,,,5.5,10,1.3,88.7,,urea,100,,,,,0,1,0,sugar cane,other,urea+ NBPT 1500,13.892664,13.892664,,10,4,30,1,100,,88.7,1467,1467
123,this study,"Mira, AB; Cantarella, H; Souza-Netto, GJM; Moreira, LA; Kamogawa, MY; Otto, R",Optimizing urease inhibitor usage to reduce ammonia emission following urea application over crop residues,2017,SCA,"São Paulo, Brazil",-22.19483,-47.78681,,,,5.5,10,1.3,88.7,,urea,100,,,,,0,1,0,sugar cane,other,urea+ NBPT 2000,11.98001,11.98001,,10,4,30,1,100,,88.7,1467,1467
